"LATEST_COUNTED_DHSS_REGION","county","ONSET_DATE","CASES"
"EASTERN","St Charles",2020-03-24,1
"NORTHWEST","Kansas City",2020-04-03,3
"NORTHWEST","Kansas City",2020-04-04,3
"NORTHWEST","Kansas City",2020-03-10,1
"EASTERN","St Charles",2020-03-28,2
"NORTHWEST","Kansas City",2020-04-05,3
"EASTERN","St louis",2020-04-07,17
"EASTERN","St Charles",2020-04-07,1
"EASTERN","St louis",2020-04-06,7
"EASTERN","St louis",2020-04-08,15
"EASTERN","St louis",2020-04-09,17
"NORTHWEST","Kansas City",2020-04-01,2
"EASTERN","St Charles",2020-03-29,1
"NORTHWEST","Kansas City",2020-04-07,2
"EASTERN","St louis",2020-04-16,22
"NORTHWEST","Kansas City",2020-04-06,3
"EASTERN","St Charles",2020-04-09,1
"EASTERN","St Charles",2020-04-06,2
"EASTERN","St louis",2020-04-11,10
"EASTERN","St louis",2020-04-12,7
"EASTERN","St louis",2020-04-13,11
"NORTHWEST","Kansas City",2020-04-08,2
"NORTHWEST","Kansas City",2020-04-12,3
"EASTERN","St Charles",2020-04-13,3
"EASTERN","St louis",2020-04-14,16
"EASTERN","St Charles",2020-04-14,1
"EASTERN","St louis",2020-04-17,21
"EASTERN","St louis",2020-04-15,11
"NORTHWEST","Kansas City",2020-04-15,2
"NORTHWEST","Kansas City",2020-04-09,1
"EASTERN","St Charles",2020-04-16,2
"EASTERN","St louis",2020-04-18,13
"EASTERN","St louis",2020-04-19,14
"EASTERN","St louis",2020-04-20,24
"EASTERN","St Charles",2020-04-20,1
"EASTERN","St louis",2020-04-24,16
"EASTERN","St Charles",2020-04-08,1
"NORTHWEST","Kansas City",2020-04-19,1
"EASTERN","St louis",2020-04-21,16
"EASTERN","St Charles",2020-04-21,2
"EASTERN","St louis",2020-04-22,14
"NORTHWEST","Kansas City",2020-04-18,2
"EASTERN","St louis",2020-04-23,17
"EASTERN","St Charles",2020-04-22,2
"EASTERN","St Charles",2020-04-15,1
"EASTERN","St louis",2020-04-28,9
"NORTHWEST","Kansas City",2020-04-24,1
"EASTERN","St louis",2020-05-07,11
"EASTERN","St louis",2020-04-25,12
"EASTERN","St Charles",2020-04-25,1
"EASTERN","St louis",2020-04-26,23
"EASTERN","St Charles",2020-04-24,2
"EASTERN","St Charles",2020-04-26,1
"EASTERN","St louis",2020-04-27,18
"EASTERN","St Charles",2020-04-27,2
"EASTERN","St louis",2020-04-30,12
"EASTERN","St louis",2020-04-29,18
"NORTHWEST","Kansas City",2020-04-30,1
"EASTERN","St louis",2020-05-01,19
"EASTERN","St Charles",2020-04-30,1
"EASTERN","St louis",2020-05-02,9
"EASTERN","St Charles",2020-04-29,1
"EASTERN","St louis",2020-05-03,8
"NORTHWEST","Kansas City",2020-04-27,1
"EASTERN","St louis",2020-05-04,11
"EASTERN","St louis",2020-05-05,8
"EASTERN","St louis",2020-05-06,9
"NORTHWEST","Kansas City",2020-05-07,1
"EASTERN","St louis",2020-05-11,8
"EASTERN","St Charles",2020-05-02,1
"EASTERN","St louis",2020-05-13,7
"EASTERN","St louis",2020-05-09,4
"EASTERN","St louis",2020-05-08,10
"EASTERN","St Charles",2020-05-08,1
"EASTERN","St louis",2020-05-10,7
"EASTERN","St Charles",2020-05-05,1
"EASTERN","St Charles",2020-05-11,1
"EASTERN","St louis",2020-05-12,7
"NORTHWEST","Kansas City",2020-04-26,1
"NORTHWEST","Kansas City",2020-05-14,1
"EASTERN","St louis",2020-05-14,7
"EASTERN","St louis",2020-05-15,1
"EASTERN","St louis",2020-05-16,10
"NORTHWEST","Kansas City",2020-05-17,1
"EASTERN","St louis",2020-05-17,1
"NORTHWEST","Kansas City",2020-03-21,1
"EASTERN","St louis",2020-03-10,1
"EASTERN","St louis",2020-03-04,1
"NORTHWEST","Kansas City",2020-05-01,1
"NORTHWEST","Kansas City",2020-03-20,1
"NORTHWEST","Kansas City",2020-05-05,1
"NORTHWEST","Kansas City",2020-04-23,1
"NORTHWEST","Kansas City",2020-04-29,1
