"LATEST_COUNTED_DHSS_REGION","county","ONSET_DATE","CASES"
"NORTHWEST","All",2020-05-15,43
"SOUTHWEST","All",2020-05-15,2
"EASTERN","All",2020-05-15,70
"SOUTHEAST","All",2020-05-15,21
"CENTRAL","All",2020-05-08,1
"CENTRAL","All",2020-05-15,2
"SOUTHWEST","All",2020-05-14,3
"EASTERN","All",2020-05-16,53
"CENTRAL","All",2020-05-16,7
"NORTHWEST","All",2020-05-16,39
"NORTHWEST","All",2020-05-17,19
"SOUTHWEST","All",2020-05-16,5
"SOUTHWEST","All",2020-05-17,12
"EASTERN","All",2020-05-17,46
"SOUTHEAST","All",2020-05-17,12
"CENTRAL","All",2020-05-17,4
"NORTHWEST","All",2020-05-18,9
"EASTERN","All",2020-05-18,17
"SOUTHEAST","All",2020-05-18,1
"SOUTHWEST","All",2020-05-18,1
"CENTRAL","All",2020-03-06,1
"SOUTHWEST","All",2020-03-07,1
"NORTHWEST","All",2020-02-06,1
"SOUTHEAST","All",2020-03-10,1
"SOUTHEAST","All",2020-03-16,2
"SOUTHEAST","All",2020-05-16,1
"SOUTHWEST","All",2020-04-18,2
"EASTERN","St louis",2020-03-04,3
"EASTERN","St louis",2020-02-27,1
"EASTERN","St louis",2020-03-13,18
"EASTERN","St louis",2020-03-11,6
"EASTERN","St louis",2020-03-16,27
"EASTERN","St louis",2020-03-15,16
"EASTERN","St Charles",2020-03-11,1
"NORTHWEST","Kansas City",2020-03-14,4
"NORTHWEST","Kansas City",2020-03-12,3
"NORTHWEST","Kansas City",2020-03-15,9
"NORTHWEST","Kansas City",2020-03-17,10
"NORTHWEST","Kansas City",2020-03-20,13
"NORTHWEST","Kansas City",2020-03-10,3
"NORTHWEST","Kansas City",2020-03-09,1
"NORTHWEST","Kansas City",2020-03-11,3
"EASTERN","St louis",2020-03-20,49
"EASTERN","St Charles",2020-03-16,10
"EASTERN","St louis",2020-03-21,42
"EASTERN","St louis",2020-03-14,10
"EASTERN","St louis",2020-03-22,55
"EASTERN","St louis",2020-03-18,39
"EASTERN","St Charles",2020-03-22,9
"EASTERN","St louis",2020-03-08,8
"EASTERN","St Charles",2020-03-15,4
"EASTERN","St louis",2020-03-17,25
"EASTERN","St louis",2020-03-06,5
"EASTERN","St louis",2020-03-07,2
"EASTERN","St louis",2020-03-09,9
"EASTERN","St louis",2020-03-19,36
"EASTERN","St Charles",2020-03-21,7
"EASTERN","St louis",2020-03-03,2
"EASTERN","St louis",2020-03-23,84
"NORTHWEST","Kansas City",2020-03-18,17
"EASTERN","St louis",2020-03-12,8
"NORTHWEST","Kansas City",2020-03-16,7
"EASTERN","St louis",2020-03-05,1
"EASTERN","St Charles",2020-03-18,10
"EASTERN","St Charles",2020-03-20,11
"NORTHWEST","Kansas City",2020-03-13,4
"NORTHWEST","Kansas City",2020-03-21,6
"EASTERN","St Charles",2020-03-06,2
"EASTERN","St Charles",2020-03-17,6
"NORTHWEST","Kansas City",2020-03-22,12
"EASTERN","St louis",2020-03-24,71
"NORTHWEST","Kansas City",2020-03-07,1
"NORTHWEST","Kansas City",2020-03-23,21
"NORTHWEST","Kansas City",2020-03-25,17
"NORTHWEST","Kansas City",2020-03-19,12
"EASTERN","St Charles",2020-03-23,13
"NORTHWEST","Kansas City",2020-03-24,12
"EASTERN","St Charles",2020-03-19,5
"EASTERN","St louis",2020-02-19,1
"EASTERN","St louis",2020-03-25,84
"EASTERN","St louis",2020-03-26,92
"EASTERN","St Charles",2020-03-12,1
"EASTERN","St louis",2020-03-02,3
"EASTERN","St Charles",2020-03-26,18
"EASTERN","St louis",2020-03-27,89
"EASTERN","St louis",2020-04-10,133
"EASTERN","St Charles",2020-03-13,1
"NORTHWEST","Kansas City",2020-03-26,14
"EASTERN","St louis",2020-03-10,6
"EASTERN","St louis",2020-03-29,97
"NORTHWEST","Kansas City",2020-03-27,16
"EASTERN","St louis",2020-03-28,84
"EASTERN","St Charles",2020-03-27,14
"EASTERN","St Charles",2020-03-28,21
